AnnotID	InputGenes	InputIntervals	DefinitionSHA256
incremental_QTD000021_original	2385	2385	1211f3d93746affa8a29b1ccc1f32ff52b09a0d26a80a613f35af0056fd50ebf
incremental_QTD000021_traceC_increment	1065	1065	fbe00f51a54437d54d201b5089c3a88c0ff56d5aa92523c71e9d12ef59592d92
incremental_QTD000021_traceCB_increment	1380	1380	912a14798dc86b730f25b51800b4bf0067e69f6a4c7e683d6fd0ba8206c1fb8a
incremental_QTD000069_original	2313	2313	5160d8c9bfe844fd1685f92456d975990e7acc69c761ef979c5de5a2567659b3
incremental_QTD000069_traceC_increment	413	413	c360c1fe2fc1df39d3adc9f0c4734b654c34130af5fa98d7d9e13dca20490145
incremental_QTD000069_traceCB_increment	672	672	446420e0af57af7c9e1f55efa28d1cafddc3fc2353c5112a3f66929db7dbca98
incremental_QTD000081_original	2308	2308	d3baa49b8473b3ff3e17dda2faad3577139eafcd4e647890649a110a789a42ea
incremental_QTD000081_traceC_increment	696	696	0752ac407c279d9bb287db6fc823d83e9291a5dd07f73858559e0b1c678354b6
incremental_QTD000081_traceCB_increment	985	985	7c92029aad8c9201cb589c417356708e04c60487f8909058fe61c91c42d37d8e
incremental_QTD000031_original	1985	1985	1cb6a3e29f04dd27c93d3a25a8612b560603729652dc8eb1f2bdb032db5197f7
incremental_QTD000031_traceC_increment	975	975	86eb6c0218e644f67312fa54d961cd0c0ce2e978590dd98015536f421346640a
incremental_QTD000031_traceCB_increment	1197	1197	f13fdedee8ce170531fa7b012c36f61234bebda83c41f62f8bb2d28b370a52ea
incremental_QTD000067_original	1860	1860	2d77928fb381778ba18cb25855c92034f6e2d58b7314cc67355d7cc5d971f7d3
incremental_QTD000067_traceC_increment	440	440	4de918fedffd096fb6646a6db4ece0d537d1177eb4f2b38c1627d47729154227
incremental_QTD000067_traceCB_increment	665	665	4eb4d600fad53c749664e942789bfc3bf23ffd4b8335dc13d7c5907b8bd7acbb
incremental_QTD000371_original	1860	1860	d7591c091776464622cfae6d06d42124e33fff962054070056e5f0256957b3f0
incremental_QTD000371_traceC_increment	355	355	b402e9dd9f547aec7dfe44919adda39ade1e02f2cb56013baed46fa66bcfa24c
incremental_QTD000371_traceCB_increment	545	545	2200c435d2f7f07fe8eee94d8b2aaff85de0b60b6512d302f242fcdc0ff4dc40
incremental_QTD000066_original	1623	1623	c06a76f1c125af8533bcab3e8c42a9a915a5e217b7a117a7cb404b6b8af4f41f
incremental_QTD000066_traceC_increment	373	373	c1ac581b2396b72e2138671f826a447dd13df27387cc6bd40784cf9722f6e795
incremental_QTD000066_traceCB_increment	547	547	79d80c0fd32e839a001c6b82a195b2167dab11f9f5ab82f9455381524f3642c2
incremental_QTD000372_original	1628	1628	2517157aa94cbfbe8914010bfc0062c1fa24ca3d1fc3c469a16aaca51a0f5126
incremental_QTD000372_traceC_increment	297	297	d4360c0d19b6dbb5d6e4f30ba06ebcfa4a20e717bd4411d02cb7924d28780d08
incremental_QTD000372_traceCB_increment	451	451	36e00f19fa85a292e9ff78d2583357798356b354655c0310904712eb5167f695
incremental_QTD000073_original	1721	1721	89ff2c8bb194aee717791190aac26f49d84a7d0ab2614337e3fd7c2fc912e92d
incremental_QTD000073_traceC_increment	268	268	e0c61cf501e9de254ccbdb0be0c873c90f1b1e5ecee7598e38c3bcbd84c55bc0
incremental_QTD000073_traceCB_increment	280	280	78587bed5266a6ba08fac088b3e527f395d9e6bb8c8cc31a00212eb91b3fd282
incremental_QTD000115_original	1606	1606	bd17d18f37cdd6b4cd56d72f738d29f2e266da76b4f90a3266cf83da893f0c1c
incremental_QTD000115_traceC_increment	533	533	95a501bb5ba94b1b7e5ce7a368fa895b7e88bde1be147ab32187f448f636a991
incremental_QTD000115_traceCB_increment	759	759	2025840371021d180e6634405313591d06533ff42602fe5fb7e807d11361ef46
overall_original	4844	4844	a315808f985056767c252d1c252cf94470e8587d33c32eb68999952d904e3d35
overall_traceC	6735	6735	52180914610df491eb0390581765fd1ae09151635e69a114d14b832501c0cba5
overall_traceCB	7545	7545	135c149ebf031ebef17c6f3c130e0149369fed27814d1d2b4f20ef586277c4c4
